年份,学校名称_链接,学校名称,院系名称_链接,院系名称,专业代码,专业名称_链接,专业名称,总分,政治__管综,外语,业务课_一,业务课_二
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010108,http://yz.kaoyan365.cn/school/sysu/zhuanye/87709.html, 科学技术哲学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9291/,社会学与人类学学院,0601Z1,http://yz.kaoyan365.cn/school/sysu/zhuanye/87715.html,考古学及博物馆学,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9291/,社会学与人类学学院,030301,http://yz.kaoyan365.cn/school/sysu/zhuanye/87710.html,社会学,350,55,55,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9279/,博雅学院,060300,http://yz.kaoyan365.cn/school/sysu/zhuanye/87720.html,世界史,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9279/,博雅学院,060200,http://yz.kaoyan365.cn/school/sysu/zhuanye/87719.html,中国史,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9291/,社会学与人类学学院,030303,http://yz.kaoyan365.cn/school/sysu/zhuanye/87712.html,人类学,320,55,55,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9291/,社会学与人类学学院,030302,http://yz.kaoyan365.cn/school/sysu/zhuanye/87711.html,人口学,350,55,55,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9283/,岭南学院,020104,http://yz.kaoyan365.cn/school/sysu/zhuanye/87722.html, 西方经济学,340,60,60,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9279/,博雅学院,050100,http://yz.kaoyan365.cn/school/sysu/zhuanye/87718.html,中国语言文学,355,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9279/,博雅学院,010100,http://yz.kaoyan365.cn/school/sysu/zhuanye/87717.html,哲学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9291/,社会学与人类学学院,030304,http://yz.kaoyan365.cn/school/sysu/zhuanye/87713.html,民俗学,350,55,55,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9283/,岭南学院,020105,http://yz.kaoyan365.cn/school/sysu/zhuanye/87723.html,世界经济,340,60,60,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9283/,岭南学院,020101,http://yz.kaoyan365.cn/school/sysu/zhuanye/87721.html, 政治经济学,340,60,60,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,0603Z2,http://yz.kaoyan365.cn/school/sysu/zhuanye/87699.html, 世界近现代史,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010102,http://yz.kaoyan365.cn/school/sysu/zhuanye/87704.html,中国哲学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9292/,中国语言文学系,030304,http://yz.kaoyan365.cn/school/sysu/zhuanye/87686.html,社会学,350,55,55,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,0603Z3,http://yz.kaoyan365.cn/school/sysu/zhuanye/87698.html,史学理论与外国史学史,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9292/,中国语言文学系,050101,http://yz.kaoyan365.cn/school/sysu/zhuanye/87687.html,文艺学,355,50,50,90,90
2017,http://yz.kaoyan365.cn/school/pku/,北京大学,http://yz.kaoyan365.cn/school/pku/yuanxi/11209/,工学院,125600,http://yz.kaoyan365.cn/school/pku/zhuanye/87685.html,工程管理硕士,170,-,42,84,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,060202,http://yz.kaoyan365.cn/school/sysu/zhuanye/87697.html,历史地理学,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,060200,http://yz.kaoyan365.cn/school/sysu/zhuanye/87696.html, 中国古代史学与学术,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010104,http://yz.kaoyan365.cn/school/sysu/zhuanye/87705.html,逻辑学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010107,http://yz.kaoyan365.cn/school/sysu/zhuanye/87708.html,宗教学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9299/,历史学系,0601L1,http://yz.kaoyan365.cn/school/sysu/zhuanye/87695.html,考古学及博物馆学,310,55,55,180,-
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010105,http://yz.kaoyan365.cn/school/sysu/zhuanye/87706.html, 伦理学,320,50,50,90,90
2017,http://yz.kaoyan365.cn/school/sysu/,中山大学,http://yz.kaoyan365.cn/school/sysu/yuanxi/9280/,哲学系,010101,http://yz.kaoyan365.cn/school/sysu/zhuanye/87703.html, 马克思主义哲学,320,50,50,90,90
